projet_id,mois,annee,duree_projet_jours,nb_collaborateurs_actuels,charge_moyenne,charge_max,nb_conflits,nb_surcharges,nb_sous_charges,nb_anomalies_total,nb_collaborateurs_concernes,target_besoin_ressources_mois_suivant
10021,7,2024,164,213,69.96,77.4,0,1,23,24,16,284
10135,5,2026,245,4,72.75,77.99,1,3,2,6,4,5
10088,9,2024,535,3,55.27,90.38,0,3,2,5,2,1
10036,1,2025,355,4,120.21,148.04,2,4,0,6,4,10
10082,6,2025,860,107,72.97,79.85,0,0,4,4,2,39
10064,12,2026,340,7,89.8,111.48,1,0,1,2,2,8
10084,1,2027,607,9,87.52,108.14,0,0,0,0,0,9
10084,8,2026,607,12,82.27,104.0,1,4,2,7,6,9
10028,9,2024,164,3,98.15,126.41,0,0,0,0,0,6
10031,4,2026,881,121,101.43,109.1,2,2,1,5,4,96
10160,4,2025,592,34,73.47,103.36,1,2,0,3,2,44
10110,9,2025,675,12,97.91,141.2,3,0,0,3,3,8
10046,6,2026,221,18,55.88,76.68,2,0,0,2,2,15
10071,8,2024,540,21,77.09,112.49,0,0,1,1,1,19
10034,7,2026,383,17,92.78,119.97,0,1,0,1,1,16
10063,3,2026,605,9,85.9,121.6,0,0,0,0,0,11
10123,11,2026,194,7,79.64,95.96,0,0,0,0,0,8
10139,8,2025,498,80,86.04,120.42,1,1,0,2,2,127
10045,11,2025,725,32,78.64,117.3,0,1,0,1,1,30
10031,7,2026,881,102,64.02,76.67,1,0,19,20,10,102
10135,12,2025,245,4,76.03,88.07,0,0,3,3,3,1
10045,2,2027,725,23,105.15,135.58,2,0,3,5,3,32
10116,8,2024,631,14,76.04,97.78,0,0,2,2,1,12
10004,7,2026,564,37,71.7,115.34,0,0,4,4,2,70
10083,2,2027,131,46,83.3,97.67,0,0,0,0,0,43
10052,10,2024,319,8,97.06,138.58,2,1,1,4,2,12
10077,9,2025,219,358,67.88,97.41,1,2,17,20,11,262
10004,5,2026,564,31,92.69,137.89,3,0,0,3,2,30
10100,6,2024,850,13,76.44,110.06,1,0,0,1,1,18
10108,9,2024,647,8,92.49,132.77,2,0,0,2,2,6
10149,2,2025,722,40,100.4,106.67,0,5,1,6,4,58
10002,7,2024,847,1,155.74,190.0,0,0,1,1,1,4
10131,9,2024,446,9,96.95,118.68,0,0,2,2,1,3
10056,2,2026,414,88,86.47,107.02,0,1,11,12,6,102
10092,2,2024,321,17,63.3,103.92,0,0,0,0,0,11
10150,5,2026,534,30,108.85,133.57,0,1,4,5,4,36
10044,4,2027,187,16,88.94,114.57,2,6,3,11,7,16
10024,8,2024,549,228,89.7,98.64,0,0,0,0,0,156
10011,6,2026,866,32,101.23,126.65,4,2,0,6,3,34
10097,3,2025,544,5,90.01,131.32,0,0,0,0,0,4
10159,9,2025,165,145,81.34,96.0,0,0,1,1,0,137
10125,6,2026,862,22,79.86,105.66,2,0,2,4,3,19
10072,6,2026,859,92,112.55,128.66,2,13,2,17,10,142
10051,4,2026,536,47,95.4,111.83,0,0,2,2,1,43
10026,11,2025,115,6,91.89,129.7,2,4,0,6,4,9
10160,6,2026,592,58,69.82,104.9,1,2,5,8,7,56
10123,10,2025,194,11,98.0,119.82,2,3,1,6,3,12
10062,3,2025,286,4,93.51,124.91,0,0,0,0,0,5
10022,11,2024,626,11,120.58,182.21,2,6,0,8,4,12
10087,1,2027,809,14,72.56,94.05,1,0,3,4,3,14
10077,11,2024,219,285,82.22,87.22,0,0,0,0,0,183
10051,5,2027,536,49,94.19,122.32,3,3,3,9,8,53
10126,1,2025,565,2,97.77,136.07,2,0,0,2,1,6
10023,7,2025,159,52,100.99,113.09,0,7,0,7,3,34
10065,6,2027,518,234,148.56,189.39,50,68,1,119,84,177
10129,7,2025,339,8,89.5,116.54,0,3,0,3,2,4
10141,5,2025,910,16,81.88,118.62,0,1,5,6,5,24
10004,11,2026,564,34,93.15,115.65,0,0,0,0,0,27
10122,11,2024,593,6,82.73,114.41,0,3,0,3,2,3
10082,7,2026,860,97,129.01,163.37,11,34,0,45,27,103
